,0,1,2
0,(8.533632314309754+0j),(4.689909362579589+0j),(14.388683114295592-1.2127491235922663j)
1,(11.796888371147876+0j),(11.87908877413426+0j),(12.362035687040466-0.8444549970413238j)
2,(9.978440652496145+0j),(4.934049293244555+0j),(13.979219803772548-0.14547039911441964j)
3,(3.355788658253532+0j),(13.059927784978516+0j),(11.96053358553265-0.6441683496263809j)
4,(6.998636244045501+0j),(0.7192846411950714+0j),(11.387814994571032+1.1520605119831024j)
5,(9.580111452550105+0j),(6.690726377900679+0j),(7.35838074909643-1.5011140318099017j)
6,(19.62301520100202+0j),(1.3954898266132258+0j),(17.485985486024013-3.165296305115237j)
7,(14.493290488051496+0j),(7.491496127803852+0j),(7.654480197363447+2.0129217094421072j)
8,(6.598865481687599+0j),(9.665230938108895+0j),(7.72712967949511-2.5729966164817073j)
9,(8.881409834131416+0j),(58.417500282882976+0j),(-11.013201092556828+6.799203195994821j)
10,(12.358972965253626+0j),(4.352281756156286+0j),(11.117197451016917-1.5133871279041546j)
11,(10.44186091855954+0j),(3.710605084219495+0j),(15.257965692024525+2.57795201442441j)
12,(12.360629563215777+0j),(8.586919885587319+0j),(11.584228310781437+0.7837705991258525j)
13,(11.297425083851916+0j),(9.8225451555097+0j),(11.848338825603411+0.4377588114938116j)
14,(14.049309328179888+0j),(7.7109697682456755+0j),(14.219707973086358-3.7211197856724283j)
15,(5.778665282014536+0j),(6.9227326768998925+0j),(7.79161033341181+0.27440274175887724j)
16,(9.589143302571864+0j),(11.149668355250038+0j),(4.7522563455070355+2.068961439566979j)
17,(8.999203888195852+0j),(4.615662927958383+0j),(8.988688770073843+1.9962800692982703j)
18,(6.761492460570247+0j),(2.3889517107225116+0j),(11.76887496108805+0.9200526946971581j)
19,(8.039060268039096+0j),(5.326308597421742+0j),(12.439049698193042+0.2406927192987382j)
20,(8.365013315208559+0j),(10.078356094808441+0j),(16.773438951501994+1.7256130634783398j)
21,(36.613391249615795+0j),(11.079478048398768+0j),(57.20511703286185-0.861863528249874j)
22,(16.508759494206615+0j),(5.551370990326381+0j),(14.441186754935474+0.7278722590147327j)
23,(10.421400650674833+0j),(14.311078014950265+0j),(7.844698922668575+0.7973112121192598j)
24,(7.772255262638774+0j),(4.782184563953814+0j),(7.01735971990906-1.7649379967625385j)
25,(13.31039070688651+0j),(5.253128670656325+0j),(6.388042034479389-0.6134170076135338j)
26,(13.534405249865477+0j),(4.7776891336941425+0j),(11.35307285502756+2.1046926773409274j)
27,(2.8923771302493773+0j),(2.325480349228976+0j),(9.382829086905812+1.5672364647694106j)
28,(3.439359828484089+0j),(11.222119308235426+0j),(11.216242929513816+0.09580918048518935j)
29,(19.640501632766014+0j),(5.494850589020309+0j),(16.59925657231029-1.5731430102066397j)
30,(18.319879936651645+0j),(2.933661572817064+0j),(21.531748539419688-2.908931890814004j)
31,(6.3536713310179005+0j),(1.9201962515742095+0j),(13.140025593921573-3.746275487939934j)
32,(4.764622091194501+0j),(6.815475490137068+0j),(14.050995269667016-3.110694249607727j)
33,(13.037620315112662+0j),(5.26342622565339+0j),(12.84512033165679-0.6132550857847566j)
34,(10.542098788796295+0j),(9.65835497396545+0j),(6.000883689390956-3.8004091885800646j)
35,(11.843689205918574+0j),(5.663005334551802+0j),(7.829044423492665-3.955141296837009j)
36,(14.337033407352802+0j),(2.837298580510783+0j),(11.915309076524276-3.422533836402754j)
37,(10.99842632854575+0j),(2.438796105600884+0j),(12.770775065569376-3.2525869642246805j)
38,(15.08975507439761+0j),(0.46638562279827833+0j),(12.358511532892686-1.6682517036282491j)
39,(13.831915673280205+0j),(5.503099419567831+0j),(13.076994828761228-0.8129113014180365j)
40,(14.308937679714807+0j),(-1.1072039110081033+0j),(11.468673485427093+0.7334525761759157j)
41,(14.400760314340339+0j),(7.898621546143396+0j),(11.518814049366599+0.3489629939554719j)
42,(11.120356717225421+0j),(8.292072134370732+0j),(10.838008920225324+1.0382742974358703j)
43,(12.339466549712522+0j),(4.665426060814137+0j),(9.788787153272072-0.21951331422582554j)
44,(9.388014217150362+0j),(5.9106200959688975+0j),(8.06587853092255-1.855886029659581j)
45,(13.36884729478952+0j),(6.601197891564801+0j),(7.933922624389751-1.5908616498771382j)
46,(11.720165670112195+0j),(5.972015737313033+0j),(8.804898549585946-3.648134320360219j)
